"LN","Price","STAT","Address","AR","City","CNTY","BR","BAF","BAH","YR","ZIP","ELEM","MS","HS","LA - Agt Name","LA - Phone"
"8126521","$61,200","A","6063 Chaseland Dr","161","Rex","Clayton","3","2","0","1987","30273","R Smith","Adamson","Morrow","Ryan Gehris","Phone: 866-807-9087"
"8123298","$61,222","A","2097 SE Kipling Cir","32","Atlanta","Fulton","3","1","0","1962","30315","Tville Hgt","Price","Carver","Dionne Fuller",
"8122911","$61,500","A","2671 Johnson St","42","Lithonia","DeKalb","3","1","1","1900","30058","Stoneview","Lithonia","Lithonia","Zareh Najarian",
"8117854","$62,900","A","8222 Dunellen Ln","161","Jonesboro","Clayton","3","2","0","1983","30238-2919","Callaway","Kendrick","Mndys Mill","Davis Nguyen","Phone: 4045195084"
"8126933","$64,200","A","3276 Creekwood Dr","161","Rex","Clayton","4","2","1","1990","30273","R Smith","Rex Mill","Forest Pk","Paul Arterbury","Phone: 770-383-4955"
"8119237","$65,000","A","3315 Ethan Allen Ct","33","Atlanta","Fulton","3","2","0","1973","30349","Seabrn Lee","Camp Creek","Westlake","Marta G Stewart","Phone: 770-439-9999ext. 1113"
"8123106","$65,000","A","50 Park Ave","32","Atlanta","Fulton","2","1","0","1920","30315","Slater","Price","Carver","Kristle Breland","Phone: 404-563-4793"
"8121867","$65,000","A","677 Selden Ct","161","Jonesboro","Clayton","3","1","1","1971","30238","Lee Street","Jonesboro","Jonesboro","Sal Chau","Phone: 404-918-9989ext. 8147"
"8121463","$66,000","A","5223 Lyndale Cir","161","Forest Park","Clayton","3","1","0","1953","30297","Fountain","Babb","Forest Pk","Jamie McCleskey","Phone: 6787774805"
"8121774","$66,074","A","2249 Polar Rock Pl","32","Atlanta","Fulton","3","1","0","1958","30315","Slater","Price","Carver","Rick Hale","Phone: 404-541-3555"
"8119609","$69,000","A","1298 Muirfield","42","Stone Mountain","DeKalb","3","1","2","1977","30088","Shadow Rck","Miller Grv","Redan","Audley Clarke","Phone: 6784806828"
"8123407","$69,768","A","2153 Burroughs Ave","32","Atlanta","Fulton","3","2","0","1950","30315","Dobbs","Long","S Atlanta","Dionne Fuller",
"8120929","$69,900","A","1779 Hadlock St","31","Atlanta","Fulton","4","1","1","1955","30311-4163","Beecher Hl","Brown","Other","Keith Johnson","Phone: 678-886-5776"
"8122715","$70,000","A","163 Brightwood Ct","161","Riverdale","Clayton","4","1","1","1973","30274","Pointe S","Pointe S","Mndys Mill","Dean Symister","Phone: 7706521062ext. 176"
"8125886","$70,028","A","812 Ayrshire Cir","22","Atlanta","Fulton","3","1","0","1950","30318","Woodson","Harpr Arch","Douglass","Rick Hale","Phone: 404-541-3555"
"8127066","$70,028","A","644 S Eugenia Pl","22","Atlanta","Fulton","5","2","0","1945","30318","Woodson","Harpr Arch","Douglass","Rick Hale","Phone: 404-541-3555"
"8125883","$72,500","A","6215 Havana St","161","Forest Park","Clayton","4","2","0","1962","30297-4244","Other","Other","Other","Jody H Green","Phone: 770-861-7771"
"8120630","$73,500","A","10436 Irongate Ln","161","Jonesboro","Clayton","4","2","0","1990","30238","Hawthorne","Mundy Mill","Mndys Mill","Rob Thompson","Phone: 404-597-8565"
"8123357","$73,714","A","2171 Burroughs","32","Atlanta","Fulton","3","2","0","1950","30315","Dobbs","Long","S Atlanta","Dionne Fuller",
"8119411","$74,900","A","539 Hilldale Dr","301","Winder","Barrow","2","1","0","1985","30680","Holsenbeck","Bear Creek","Wnder Brrw","Kenny Lumpkin","Phone: 770-833-9686"
"8122368","$75,000","A","2924 SW 3rd Ave","32","Atlanta","Fulton","3","1","0","1960","30315-8906","Hutchinson","Long","S Atlanta","Tony U Williams","Phone: 4047815135ext. 5135"
"8117738","$75,000","A","1439 Floyd Cir","263","Gainesville","Hall","4","1","1","1960","30507","White Sphr","East Hall","East Hall","Susan L Moss","Phone: 770-718-5217"
"8125067","$75,000","A","5820 Windermere Ct","42","Lithonia","DeKalb","3","2","0","1973","30038","Flat Rock","Salem","MLK Jr","Bola Esan","Phone: 678-427-4011"
"8126574","$75,000","A","5407 Old Rockbridge Rd","42","Stone Mountain","DeKalb","3","2","0","1925","30083-6809","Rockbridge","St Mtn","Stone Mtn","Stephanie M Williams","Phone: 678-923-1595"
"8127120","$76,900","A","140 Inverness Trce","161","Riverdale","Clayton","3","2","1","2002","30274","Brown","Pointe S","Mndys Mill","Andrea Shannon","Phone: 404-310-4519"
"8125949","$77,000","A","584 Alex","32","Atlanta","Fulton","4","2","0","1973","30331","Adamsville","Young","Mays","Virginia Horton-Lee","Phone: 678-546-7387"
"8116126","$77,900","A","2634 Miriam Ln","52","Decatur","DeKalb","3","1","1","1956","30032","Toney","Columbia","Columbia","Donna Rice","Phone: 678-485-0538"
"8123663","$77,900","A","4714 Garden Hills Dr","43","Stone Mountain","DeKalb","3","2","0","1983","30083","Allgood","Freedom","Clarkston","Na Le","Phone: 4043126715"
"8118691","$79,000","A","5560 Campbellton Rd","31","Atlanta","Fulton","2","1","0","1967","30331-7629","Randolph","Sandtown","Westlake","Amy McCoy","Phone: 7709410881"
"8123390","$79,350","A","2183 Swallow","31","Atlanta","Fulton","3","1","0","1960","30315","Dobbs","Long","S Atlanta","Dionne Fuller",
"8130180","$79,500","A","1065 NW Fairburn Rd","33","Atlanta","Fulton","3","1","0","1961","30331","Adamsville","Other","Other","Chorlette Harvey","Phone: 4043041551ext. 1551"
"8127366","$79,900","A","4625 City View Dr","161","Forest Park","Clayton","4","2","0","1945","30297","Other","Forest Prk","Forest Pk","Zareh Najarian",
"8122246","$79,900","A","6218 Creekford Ln","41","Lithonia","DeKalb","3","2","0","1986","30058","Marbut","Lithonia","Lithonia","Crystal Braddock","Phone: 4043967595ext. 0"
"8122650","$80,000","A","202 Etheridge Rd","301","Auburn","Barrow","3","2","0","2001","30011","Auburn","Westside","Apalachee","James Kurtz","Phone: 770-662-2106"
"8124880","$80,000","A","5147 Highpoint","33","Union City","Fulton","3","2","0","1946","30291","Liberty Pt","Camp Creek","Lgstn Hghs","Priscilla Miller","Phone: 4045590332ext. 389"
"8127069","$80,000","A","51 Florence Rd","112","Woodstock","Cherokee","3","2","0","1987","30189-2335","Bascomb","Booth","Etowah","Rick Steiner","Phone: 770-722-3112ext. 4039"
"8114644","$80,000","A","5112  Huxley Rd","42","stone mountain","DeKalb","3","2","0","1978","30088","Eldridge M","Redan","Redan","Yibei Xu","Phone: 404-916-6518"
"8126861","$84,900","A","255 Amethyst Ct","33","Atlanta","Fulton","3","2","0","1994","30349","Other","Other","Other","Grace L Taylor","Phone: 678-361-4682"
"8118654","$84,900","A","1973 Niskey Lake Rd","33","Atlanta","Fulton","3","1","0","1955","30331","Fickett","Bunche","Therrell","Jolaunda Campbell","Phone: 678-698-6552"
"8119485","$85,000","A","333 Fletcher St","31","Atlanta","Fulton","4","3","0","2005","30310","Gideons","Parks","Carver","Lorenzo Francis",
"8121079","$85,000","A","7583 Becker Ct","161","Jonesboro","Clayton","3","2","0","1984","30236","Arnold","Clay Co","Jonesboro","Dwayne Prosser","Phone: 4048597714"
"8126004","$85,000","A","86 N Stratford Dr","31","Atlanta","Fulton","5","2","0","1960","30311","Fain","Harpr Arch","Douglass","Anthony Vidal",
"8115250","$85,000","A","4554 Richard Rd","161","Conley","Clayton","3","2","0","1965","30288","Huie","Other","Other","Zareh Najarian",
"8116191","$85,000","A","7408 Ambassador Dr","161","Riverdale","Clayton","3","1","1","1969","30296","Oliver","Riverdale","Riverdale","Andrew Miller","Phone: 404-408-0514"
"8113744","$88,000","A","1360 New Hope Rd","65","Lawrenceville","Gwinnett","3","3","0","1971","30045","Lovin","Mcconnell","Archer","David P Bellino","Phone: 678-409-0943"
"8123310","$88,000","A","3605 Fay","161","Rex","Clayton","3","2","0","1988","30273","R Smith","Adamson","Morrow","Willie Momon","Phone: 678-438-6481"
"8116218","$89,000","A","587 NW Lyric Way","21","Atlanta","Fulton","3","2","0","1968","30318","Cent Place","Young","Mays","Sylvia L Rowe","Phone: 404-212-8861"
"8116423","$89,000","A","710 Butterfield Ct","33","College Park","Fulton","3","2","0","1982","30349","Nolan","Mcnair","Banneker","Marietta D Taylor","Phone: 7708232517"
"8115828","$89,000","A","11523 Vinea Ln","161","Hampton","Clayton","3","2","0","2003","30228","E White Ac","Lovejoy","Lovejoy","Lawrence Batiste","Phone: 770-603-6767"
"8114075","$89,000","A","1192 Stoneham Ct","161","Atlanta","Clayton","3","2","1","2000","30349","W Clayton","N Clayton","N Clayton","J. Michalle M Farrakhan","Phone: 6789974747"
"8118158","$90,000","A","1135 Mill St","261","Gainesville","Hall","6","2","0","1945","30501","Fair Str","Gainesvill","Gainesvl","Susan L Moss","Phone: 770-718-5217"
"8119993","$92,000","A","5337 Bleckley","43","Lithonia","DeKalb","4","1","1","1980","30038","Flat Rock","Salem","MLK Jr","Ashley Abrams",
"8117832","$94,900","A","616 Inman Rd","171","Fayetteville","Fayette","3","2","0","1989","30215","S H Minter","Whitewater","Whitewater","Kent Miller","Offic: 7704787950"
"8129498","$94,900","A","3102 Robin Rd","52","Decatur","DeKalb","4","2","0","1956","30032-3718","Kelley Lk","M M Bethun","Towers","Ronald Moore","Phone: 770-374-2492"
"8118385","$95,000","A","3680 Hershel Pl","33","College Park","Fulton","3","2","0","1966","30349","Cliftondle","Sandtown","Westlake","Southern REO","Phone: 770-642-9494"
"8118803","$95,000","A","8645 Garvey Dr","33","Fairburn","Fulton","3","2","0","1990","30213","E C West","Bear Creek","Creekside","Tamara Johnson","Phone: 4048409365"
"8124617","$95,000","A","417 Maplecliff Dr","42","Stone Mountain","DeKalb","3","2","0","1984","30088","Rockbridge","St Mtn","Stone Mtn","Adrianna Danley","Phone: 404-512-3466"
"8113460","$95,900","A","3914 McGill Dr","43","Decatur","DeKalb","3","2","0","1977","30034-5820","Chapl Hill","Chapel Hil","SW Dekalb","Tina I Jones","Phone: 678-984-3115"
"8116545","$96,000","A","4363 Stonewall Tell Rd","33","Atlanta","Fulton","3","2","0","1965","30349","Stonwl Tel","Camp Creek","Westlake","Amy McCoy","Phone: 7709410881"
"8125221","$97,900","A","2029 Highview Rd","31","Atlanta","Fulton","3","1","0","1950","30311","Beecher Hl","Young","Mays","Shea Embry","Offc: 404-564-5560"
"8117201","$98,500","A","1230 Brookstone Rd","161","Atlanta","Clayton","3","2","1","2006","30349","W Clayton","N Clayton","N Clayton","Zareh Najarian",
"8115611","$99,900","A","123 Lundy Ln","161","Jonesboro","Clayton","4","2","1","1979","30238-2131","Callaway","Kendrick","Riverdale","Lynitta Thomas","Phone: 7706160773"
"8123800","$99,900","A","7119 New Dale Rd","161","Rex","Clayton","3","2","0","1997","30273","R Smith","Adamson","Morrow","Fernando Bartolomei","Phone: 678-300-1781"
"8124537","$99,900","A","1132 Sunday Ln","161","Jonesboro","Clayton","3","2","0","1992","30238-7886","Hawthorne","Mundy Mill","Lovejoy","Suzanne Higgins","Phone: 770-509-0265"
"8124064","$99,999","A","3644 Gold Mill Ct","52","Ellenwood","DeKalb","3","2","0","1986","30294","Chapl Hill","Salem","MLK Jr","Gennie Ayala-Perez","Phone: 4048226380"
"8120400","$100,000","A","951 Forest Path","42","Stone Mountain","DeKalb","3","2","0","1988","30088","Shadow Rck","Redan","Redan","Taurean Stephenson",
"8114850","$100,000","A","833 NW Harwell Rd","22","Atlanta","Fulton","3","2","0","1959","30318","Boyd","Harpr Arch","Douglass","Horace L Carter","Phone: 404-895-3972"
"8118614","$102,000","A","3499 Scenic Dr","31","East Point","Fulton","3","3","0","1960","30344","Other","Other","Other","Chikita Simmons","Phone: 7709128523"
"8118369","$102,900","A","2379 Dupree Ave","22","Atlanta","Fulton","4","2","0","1950","30318","Other","Other","Other","Tony B Dent",
"8114040","$103,000","A","2801 John Petree Rd","73","Powder Springs","Cobb","3","2","0","1989","30127-1534","Dowell","Tapp","Mceachern","John Sherwood","Phone: 770-438-2411"
"8118881","$103,000","A","415 King Arnold","31","Hapeville","Fulton","3","2","0","1930","30354","Hapeville","P D West","Tri Cities","Joel D Elliott","Phone: 7703759790ext. 112"
"8124728","$104,720","A","11060 Pebble Ridge","161","Hampton","Clayton","3","2","1","2000","30228","Kemp","Lovejoy","Lovejoy","Brenda L Lindsey","Phone: 404-395-6352"
"8123583","$104,990","A","3498 E Ponce De Leon","52","Scottdale","DeKalb","3","1","0","1941","30079","Mclendon","Druid Hill","Druid Hlls","Tom Jahnke","Phone: 404-218-4047"
"8124587","$105,000","A","2732 Rainbow Ridge Rd","43","Decatur","DeKalb","4","2","0","1965","30034","Columbia","Columbia","Columbia","Adrianna Danley","Phone: 404-512-3466"
"8125421","$105,000","A","3908 Bluffton Ct","42","Decatur","DeKalb","4","2","0","1965","30035-2301","Snapfinger","Columbia","Columbia","Katelyn E Henry","Phone: 7703675762"
"8125551","$105,000","A","1513 Spruce Ridge Way","42","Stone Mountain","DeKalb","3","2","0","1972","30083-5634","Woodridge","Miller Grv","Miller Grv","Dana Elliott","Phone: 770-837-5860"
"8129150","$105,000","A","1333 Muirforest Way","42","Stone Mountain","DeKalb","4","2","0","1981","30088","Shadow Rck","Redan","Redan","Kamnran Wilson",
"8143620","$105,000","A","5669 Liberty Rd","33","Union City","Fulton","3","2","0","1986","30291","Liberty Pt","Bear Creek","Creekside","Jordon Wheeler","Offic: 4044188092"
"8117247","$105,000","A","496 Rock Meadow","42","Stone Mountain","DeKalb","4","2","0","1975","30088","Rockbridge","St Mtn","Stone Mtn","Tynisha L Cheatham","Phone: 404-798-9572"
"8117005","$105,000","A","5710 Rockaway Dr","33","Union City","Fulton","3","2","0","2006","30291","Campbell","Bear Creek","Creekside","Randy Williams","Offc: 770-217-1203"
"8115554","$105,000","A","3425 Bachelor St","21","East Point","Fulton","2","1","0","1930","30344","Parklane","P D West","McClarin","Joel D Elliott","Phone: 7703759790ext. 112"
"8120640","$108,000","A","1273 Sanders Way","161","Morrow","Clayton","3","2","0","1961","30260","Fountain","Babb","Forest Pk","Ralph Myers","Phone: 770-367-0649"
"8119891","$109,000","A","3802 Cedar Trace Ln","43","Ellenwood","DeKalb","3","2","0","2000","30294-6215","Oak View","Cedar Grov","Cedar Grv","Renae L Holliday","Phone: 6785075637ext. 5637"
"8123308","$109,900","A","3025 Creel Rd","33","College Park","Fulton","5","2","0","1980","30349","Nolan","Mcnair","Creekside","The Brock Team","Phone: 6784102961"
"8126536","$109,900","A","4965 Highway 52","263","Gainesville","Hall","3","2","0","1978","30507","White Sphr","East Hall","East Hall","Dana Gregory","Phone: 770-616-8889"
"8129540","$109,900","A","2375 Tyler Way","52","Decatur","DeKalb","4","3","0","1956","30032-6326","Kelley Lk","Mcnair","Mcnair","Ronald Moore","Phone: 770-374-2492"
"8126139","$110,000","A","8223 Wynfield","161","Jonesboro","Clayton","3","2","0","2000","30238","Brown","Jonesboro","Jonesboro","Calvin Gleaton","Phone: 7706523827"
"8121824","$110,000","A","3321 Clay","72","Austell","Cobb","2","1","0","1945","30106","Clarkdale","Cooper","South Cobb","Jennifer L Troupe","Phone: 770-547-4849"
"8122031","$112,000","A","2891 Valley Brook","73","Marietta","Cobb","3","2","0","1970","30008","Hollydale","Smitha","Osborne","Ben Thurman","Phone: 678-463-4244"
"8126387","$112,000","A","490 North Ave","33","Hapeville","Fulton","4","2","0","1939","30354","Hapeville","P D West","Tri Cities","Joel D Elliott","Phone: 7703759790ext. 112"
"8115420","$112,220","A","2826 Knollberry Ln","42","Decatur","DeKalb","4","2","0","1990","30034-3205","Rainbow","Chapel Hil","SW Dekalb","Pearl Hollis","Phone: 6783238700"
"8118811","$112,900","A","3470 Cagle Rd","263","Gainesville","Hall","3","3","0","1990","30501","White Sphr","East Hall","East Hall","Ryan Kowalske","Phone: 678-895-6055"
"8119317","$115,000","A","2903 W Potomac Dr","33","East Point","Fulton","3","2","0","1962","30344","Mt Olive","Woodland","Tri Cities","Lois Wilson","Phone: 6786980835"
"8124669","$115,000","A","3833 Brookstone Way","43","Ellenwood","DeKalb","4","3","0","1989","30294","Chapl Hill","Chapel Hil","SW Dekalb","Elena V Higgins","Phone: 404-516-2089"
"8123605","$115,500","A","1425 Oak Ridge Rd","72","Austell","Cobb","4","3","0","1965","30168-5928","Bryant","Lindley","Pebblebrk","John K Thur","Phone: 770-528-9763"
"8124644","$115,900","A","4519 Johnson Ln","161","Forest Park","Clayton","4","2","1","2006","30297","Edmonds","Forest Prk","Forest Pk","Darling C Joseph","Phone: 6786137576"
"8114758","$116,900","A","3574 Bouldercrest Ct","43","Ellenwood","DeKalb","3","2","0","1999","30294","Cedar Grve","Cedar Grov","Cedar Grv","Bruce Hildebrand","Phone: 404-358-5164"
"8125125","$117,400","A","2451 Rockknoll Dr","43","Conley","DeKalb","4","2","0","1968","30288","Cedar Grve","Cedar Grov","Cedar Grv","John Lampl","Phone: 678-360-5999"
"8122845","$118,000","A","392 Independence","161","Jonesboro","Clayton","3","2","0","1980","30238","Pointe S","Pointe S","Mndys Mill","Nawrocki Grimes","Phone: 678-773-5330ext. 117"
"8128715","$118,900","A","621 Scott Mill Rd","111","Canton","Cherokee","3","1","0","1940","30114-3811","Canton","Teasley","Cherokee","Toni A Turner","Phone: 7703243430"
"8121428","$119,000","A","856 Pegg Rd","31","East Point","Fulton","3","1","0","1955","30344-6732","Parklane","P D West","Tri Cities","Sherry Cranford","Phone: 404-213-1514"
"8119423","$119,000","A","3165 Chippewa Dr","161","Rex","Clayton","4","2","1","1986","30273","R Smith","Adamson","Morrow","Cindy J Bramlett","Phone: 7702310730"
"8125476","$119,900","A","3100 Gay","42","Decatur","DeKalb","3","1","1","1957","30032","Columbia","Columbia","Columbia","Kemi Inegbedion","Phone: 770-906-2157"
"8124383","$119,900","A","894 Martin Rd","42","Stone Mountain","DeKalb","4","2","0","1979","30088","Eldridge M","Redan","Redan","Zareh Najarian",
"8126755","$119,900","A","500 Mica Trc","33","Atlanta","Fulton","4","3","0","2006","30349","Nolan","Mcnair","Banneker","LaTesha McCoy","Phone: 6784586196"
"8128233","$119,900","A","2535 Columbia Crossing Ct","24","Decatur","DeKalb","3","2","1","1996","30034","Columbia","Columbia","Columbia","Carolyn Schmalenberger","Phone: 404-558-8840ext. 333"
"8124396","$120,000","A","2093 Beverly Rd","261","Gainesville","Hall","3","1","0","1958","30501","Riverbend","NHall","North Hall","Vonda Moses","Phone: 706-344-7865"
"8118426","$121,000","A","2700 Athens Hwy","263","Gainesville","Hall","3","2","0","1995","30507-7461","Tadmore","East Hall","East Hall","Tina Montrois","Phone: 7706543553"
"8115647","$123,070","A","3057 N Oak Ct","42","Decatur","DeKalb","4","2","1","1996","30034","Oak View","Cedar Grov","Cedar Grv","Betty Watts Reeves","Phone: 4042462500"
"8122207","$123,900","A","110 Hollybrook Rd","33","Atlanta","Fulton","3","2","0","1974","30349","Stonwl Tel","Sandtown","Westlake","Zareh Najarian",
"8118110","$124,000","A","6231 Florrie","72","Mableton","Cobb","3","1","1","1961","30126","Other","Other","South Cobb","Tabitha Daniel","Phone: 404-867-9137"
"8119767","$124,900","A","314 King St","262","Clermont","Hall","2","2","0","1920","30527","Wauka Mnt","NHall","North Hall","Cathy L Crowe","Phone: 6787768065"
"8119357","$125,000","A","805 Maple Dr","161","riverdale","Clayton","4","2","1","1971","30274","Riverdale","Riverdale","Riverdale","Francis Reid","Phone: 404-308-1636"
"8127514","$125,000","A","3292 Hall Dr","263","Gainesville","Hall","3","2","0","2005","30501","White Sphr","East Hall","East Hall","Joshua Anderson","Phone: 706-499-1124"
"8126870","$125,000","A","2080 Stoneridge Ln","65","Snellville","Gwinnett","3","2","0","1986","30078","B B Harris","Snellville","S Gwinnett","Nikki Crowder","Phone: 678-568-9547"
"8120010","$125,900","A","1420 Douglas Dr","262","Gainesville","Hall","3","1","0","1960","30504","Sardis","Gainesvill","Gainesvl","Mark Spain","Phone: 7708869000"
"8123168","$125,990","A","895 Tallulah Ct","33","Atlanta","Fulton","3","2","1","2017","30349","Feldwood","Mcnair","Banneker","Wade G Jurney",
"8127044","$126,400","A","3993 Emerald Lake Dr","42","Decatur","DeKalb","4","2","0","1965","30035","Canby Lane","M M Bethun","Towers","Zareh Najarian",
"8122069","$129,000","A","8652 Vida Ln","161","Riverdale","Clayton","3","2","1","2007","30274","Pointe S","Pointe S","Riverdale","Rachel Alberts","Phone: 770-362-4294"
"8116336","$129,000","A","839 Churchill","42","Stone Mountain","DeKalb","3","3","0","1988","30083","Stone Mill","St Mtn","Stone Mtn","Ronald Cuadra","Phone: 7703391400"
"8114069","$129,900","A","606 NW West Lake Ave","22","Atlanta","Fulton","2","1","0","1946","30318-6406","Grove Park","Harpr Arch","Douglass","Harlan J Vincent","Phone: 770-310-8172"
"8120985","$129,900","A","2425 Camp Mitchell Rd","66","Grayson","Gwinnett","3","1","0","1934","30017","W J Cooper","Mcconnell","Archer","Troy Adler","Phone: 770-676-8999"
"8123155","$129,900","A","5470 Forest Path Ct","42","Stone Mountain","DeKalb","4","2","1","1982","30088","Shadow Rck","Redan","Redan","Jaime Rice","Phone: 770-912-1458"
"8125425","$129,900","A","2381 Ousley","52","Decatur","DeKalb","3","2","0","1955","30032","Toney","Columbia","Columbia","Deborah Blue","Phone: 770-480-4470"
"8126872","$129,900","A","2681 Plantation Dr","33","East Point","Fulton","3","1","1","1952","30344","Other","P D West","Tri Cities","Grace L Taylor","Phone: 678-361-4682"
"8123022","$129,990","A","1211 To Lani Path","41","Stone Mountain","DeKalb","3","2","1","2017","30083","Allgood","Freedom","Clarkston","Wade G Jurney",
"8124695","$130,000","A","703 Kilkenny Cir","42","Lithonia","DeKalb","3","2","1","1995","30058-9025","Princeton","Stephenson","Stephenson","Daleford Brown","Phone: 404-808-6367"
"8126916","$130,000","A","4902 Heritage Cir","33","Atlanta","Fulton","3","3","1","2006","30349","Seabrn Lee","Camp Creek","Westlake","Tajmah Pointer","Phone: 4047323866"
"8123025","$131,990","A","1217 To Lani Path","41","Stone Mountain","DeKalb","3","2","1","2017","30083","Allgood","Freedom","Clarkston","Wade G Jurney",
"8123029","$131,990","A","1205 To Lani Path","41","Stone Mountain","DeKalb","3","2","1","2017","30083","Allgood","Freedom","Clarkston","Wade G Jurney",
"8117263","$132,500","A","9331 Corbin Rd","161","Jonesboro","Clayton","3","2","0","1979","30236","Suder","Roberts","Jonesboro","Lynn Lewis","Phone: 7703562818"
"8115885","$133,000","A","4004 Oakwod Rd","265","Oakwood","Hall","3","1","0","1963","30566","Oakwood","Wt Hall","West Hall","Sandra Stone","Phone: 678-768-6651"
"8122924","$133,990","A","875 Tallulah Ct","33","Atlanta","Fulton","3","2","1","2017","30349","Feldwood","Mcnair","Banneker","Wade G Jurney",
"8124353","$134,900","A","331 Cobblestone Rd","301","Auburn","Barrow","3","2","0","1993","30011","Auburn","Westside","Apalachee","Debra C Robinson","Phone: 7706010121"
"8127311","$134,900","A","2427 Candler Rd","264","Gainesville","Hall","3","1","0","1952","30504","Chsnut Mnt","South Hall","Johnson","Douglas Carter","Phone: 770-539-4867"
"8118124","$135,000","A","2922 Hall Dr","72","Smyrna","Cobb","3","1","0","1955","30082","Norton Prk","Griffin","Campbell","James Carswell","Phone: 678-480-7409"
"8123036","$136,990","A","1199 To Lani Path","41","Stone Mountain","DeKalb","3","2","1","2017","30083","Allgood","Freedom","Clarkston","Wade G Jurney",
"8125992","$137,500","A","1836 Idlewood Dr","33","East Point","Fulton","4","2","0","1959","30344","Hamltn Hol","P D West","Tri Cities","Joycelyn King","Phone: 4046934416"
"8129593","$137,900","A","8425 Norris Lake","42","Snellville","DeKalb","3","2","0","1991","30039","Rck Chapel","Stephenson","Stephenson","Ronald Moore","Phone: 770-374-2492"
"8127425","$138,000","A","1296 Creekview Cir","161","Riverdale","Clayton","4","2","1","2004","30296","Church Str","Riverdale","N Clayton","Cindy J Bramlett","Phone: 7702310730"
"8127605","$139,900","A","672 Jockey Ln","63","Auburn","Gwinnett","3","2","0","1990","30011","Mulberry","Dacula","Dacula","Bill Gambrell","Phone: 678-458-3494"
